source,buy_sell,type_market,especs_title,obs,qty,unity_price,operation_price,debit_credit,operation_date,title,tags,ticket
1-BOVESPA,C,FRACIONARIO,MAGAZ LUIZAON NM,-,10,5.19,51.9,D,28-04-2022,MAGAZ LUIZA,ON NM,
1-BOVESPA,C,FRACIONARIO,OION N1,-,10,0.81,8.1,D,28-04-2022,OI,ON N1,
1-BOVESPA,C,VISTA,FII CSHG LOGHGLG11CI,-,2,165.07,330.14,D,31-05-2022,FII CSHG LOGHGLG11,CI,HGLG11
1-BOVESPA,C,VISTA,FII HG REALHGRE11CI,-,2,130.7,261.4,D,31-05-2022,FII HG REALHGRE11,CI,HGRE11
1-BOVESPA,C,VISTA,FII XP MALLSXPML11CI,-,1,98.1,98.1,D,31-05-2022,FII XP MALLSXPML11,CI,XPML11
1-BOVESPA,C,FRACIONARIO,JHSF PARTON NM,-,10,7.04,70.4,D,31-05-2022,JHSF PART,ON NM,
1-BOVESPA,C,VISTA,NU-NUBANKDR3,-,10,3.09,30.9,D,31-05-2022,NU-NUBANKDR3,,
1-BOVESPA,C,FRACIONARIO,PORTO SEGUROON NM,-,10,20.82,208.2,D,31-05-2022,PORTO SEGURO,ON NM,
1-BOVESPA,C,FRACIONARIO,WEGON NM,#,1,25.42,25.42,D,31-05-2022,WEG,ON NM,
1-BOVESPA,C,VISTA,FII XP CREDXPCI11CI ER,-,7,78.14,546.98,D,07-02-2023,FII XP CREDXPCI11,CI ER,XPCI11
1-BOVESPA,C,VISTA,FII XP MALLSXPML11CI,#,4,96.44,385.76,D,07-02-2023,FII XP MALLSXPML11,CI,XPML11
1-BOVESPA,C,FRACIONARIO,ITAUSAPN N1,-,40,8.24,329.6,D,07-02-2023,ITAUSA,PN N1,
1-BOVESPA,C,FRACIONARIO,JHSF PARTON NM,-,30,4.87,146.1,D,07-02-2023,JHSF PART,ON NM,
1-BOVESPA,C,FRACIONARIO,NEOENERGIAON NM,-,20,14.9,298.0,D,07-02-2023,NEOENERGIA,ON NM,
1-BOVESPA,C,FRACIONARIO,MAGAZ LUIZAON NM,-,69,2.24,154.56,D,07-12-2023,MAGAZ LUIZA,ON NM,
1-BOVESPA,C,FRACIONARIO,MAGAZ LUIZAON NM,-,30,2.24,67.2,D,07-12-2023,MAGAZ LUIZA,ON NM,
1-BOVESPA,V,VISTA,NU-NUBANKDR3,-,24,6.3,151.2,C,09-08-2023,NU-NUBANKDR3,,
1-BOVESPA,C,FRACIONARIO,ALUPARPN N2,-,2,9.11,18.22,D,13-03-2023,ALUPAR,PN N2,
1-BOVESPA,C,FRACIONARIO,ALUPARPN N2,-,9,9.11,81.99,D,13-03-2023,ALUPAR,PN N2,
1-BOVESPA,C,FRACIONARIO,ALUPARPN N2,-,8,9.1,72.8,D,13-03-2023,ALUPAR,PN N2,
1-BOVESPA,C,FRACIONARIO,ALUPARPN N2,-,1,9.1,9.1,D,13-03-2023,ALUPAR,PN N2,
1-BOVESPA,C,FRACIONARIO,BRASKEMPNA N1,-,10,19.03,190.3,D,13-03-2023,BRASKEM,PNA N1,
1-BOVESPA,C,VISTA,FII CSHG URBHGRU11CI,#,4,115.72,462.88,D,13-03-2023,FII CSHG URBHGRU11,CI,HGRU11
1-BOVESPA,C,VISTA,FII CSHG URBHGRU11CI,-,1,115.74,115.74,D,13-03-2023,FII CSHG URBHGRU11,CI,HGRU11
1-BOVESPA,C,VISTA,FII HG REALHGRE11CI,#,3,110.9,332.7,D,13-03-2023,FII HG REALHGRE11,CI,HGRE11
1-BOVESPA,C,VISTA,FII HG REALHGRE11CI,#,1,110.89,110.89,D,13-03-2023,FII HG REALHGRE11,CI,HGRE11
1-BOVESPA,C,FRACIONARIO,JHSF PARTON NM,-,20,4.14,82.8,D,13-03-2023,JHSF PART,ON NM,
1-BOVESPA,C,FRACIONARIO,KLABIN S/APN N2,-,20,3.83,76.6,D,13-03-2023,KLABIN S/A,PN N2,
1-BOVESPA,C,FRACIONARIO,NEOENERGIAON NM,-,10,14.29,142.9,D,13-03-2023,NEOENERGIA,ON NM,
1-BOVESPA,C,FRACIONARIO,PORTO SEGUROON NM,-,10,25.49,254.9,D,13-03-2023,PORTO SEGURO,ON NM,
1-BOVESPA,C,FRACIONARIO,TAESAPN N2,-,6,12.08,72.48,D,13-03-2023,TAESA,PN N2,
1-BOVESPA,C,FRACIONARIO,TAESAPN N2,-,4,12.08,48.32,D,13-03-2023,TAESA,PN N2,
1-BOVESPA,C,FRACIONARIO,FLEURYON NM,-,1,15.29,15.29,D,24-08-2023,FLEURY,ON NM,
1-BOVESPA,C,FRACIONARIO,FLEURYON NM,-,6,15.29,91.74,D,24-08-2023,FLEURY,ON NM,
1-BOVESPA,C,FRACIONARIO,FLEURYON NM,-,2,15.3,30.6,D,24-08-2023,FLEURY,ON NM,
1-BOVESPA,C,FRACIONARIO,ITAUSAPN EJS N1,-,10,9.45,94.5,D,24-08-2023,ITAUSA,PN EJS N1,
1-BOVESPA,C,FRACIONARIO,NEOENERGIAON NM,-,2,19.16,38.32,D,24-08-2023,NEOENERGIA,ON NM,
1-BOVESPA,C,FRACIONARIO,FLEURYON NM,-,30,15.29,458.7,D,26-09-2023,FLEURY,ON NM,
